close,high,low,trade_count,open,volume,vwap,date,bollinger bands upper band,bollinger bands lower band,bollinger bands signals,dual thrust upperbound,dual thrust lowerbound,dual thrust signals,HA open,HA close,HA high,HA low,HA signals,awesome ma1,awesome ma2,awesome signals,macd ma1,macd ma2,macd signals,parabolic sar,sar signals,RSI,RSI signals
1030.51,1070.7899,1016.06,662923,1026.605,23116064,1041.74413,2022-01-18,1187.536327,970.567309,0,1153.010000,963.230000,0.000000,1051.823757,1035.991225,1070.789900,1016.060000,0.000000,1059.646790,989.771163,0.000000,1037.240586,511.052287,0.000000,48.320000,1.000000,,0
995.65,1054.6699,995.0,828700,1041.705,25552678,1015.239676,2022-01-19,1186.196411,958.006922,0,1154.920000,973.880000,0.000000,1043.907491,1021.756225,1054.669900,995.000000,0.000000,1053.146780,992.468377,0.000000,1023.377057,538.743585,0.000000,48.320000,1.000000,,0
996.27,1041.66,994.0,713221,1009.73,24019871,1018.475821,2022-01-20,1183.324758,949.212165,0,1177.910000,1034.530000,-1.000000,1032.831858,1010.415000,1041.660000,994.000000,0.000000,1037.969770,994.279921,0.000000,1014.341371,564.887951,0.000000,48.320000,1.000000,,0
943.9,1004.55,940.5,1140190,996.34,35030961,963.898887,2022-01-21,1187.629587,927.426127,0,1094.670000,968.450000,-1.000000,1021.623429,971.322500,1021.623429,940.500000,1.000000,1018.260860,992.829593,0.000000,990.860914,586.545783,0.000000,48.320000,1.000000,100.000000,-1
930.0,933.5131,851.47,1596995,904.76,52061130,888.665883,2022-01-24,1190.639283,907.412717,0,1112.720000,986.500000,-1.000000,996.472964,904.935775,996.472964,851.470000,1.000000,990.221290,986.558466,-1.000000,970.573943,606.171738,0.000000,48.320000,1.000000,100.000000,-1
918.4,951.26,903.21,818785,914.2,29640559,921.72387,2022-01-25,1192.463837,889.259913,0,1093.620000,967.400000,-1.000000,950.704370,921.767500,951.260000,903.210000,0.000000,966.983300,983.068850,0.000000,953.182629,624.013353,0.000000,48.320000,1.000000,95.689150,-1
937.41,987.69,906.0,1099447,952.43,35537357,946.725597,2022-01-26,1189.905107,879.647834,0,1042.070600,949.229400,-1.000000,936.235935,945.882500,987.690000,906.000000,0.000000,951.385310,981.056414,0.000000,947.925086,641.921733,0.000000,48.320000,1.000000,90.541137,-1
829.1,935.39,829.0,1862681,933.36,49769480,866.888719,2022-01-27,1202.374960,844.325040,1,1056.245000,936.295000,-1.000000,941.059217,881.712500,941.059217,829.000000,0.000000,924.258310,975.853182,0.000000,908.316724,652.617634,0.000000,48.320000,1.000000,88.585678,-1
846.35,857.5,792.01,1439109,831.56,45605709,830.557475,2022-01-28,1206.036719,822.031702,0,1003.875000,883.925000,-1.000000,911.385859,831.855000,911.385859,792.010000,1.000000,894.704310,968.298273,0.000000,887.661149,663.688055,0.000000,48.320000,1.000000,85.385411,-1
936.72,937.99,862.05,1019009,872.71,36054753,913.770494,2022-01-31,1200.221649,820.115351,0,993.444950,866.555050,0.000000,871.620429,902.367500,937.990000,862.050000,0.000000,896.210000,965.046926,0.000000,904.014099,679.289880,0.000000,48.320000,1.000000,85.840251,-1
931.25,943.7,905.0,756027,935.21,24990159,927.306022,2022-02-01,1167.339179,826.144821,0,1007.920000,828.880000,0.000000,886.993965,928.790000,943.700000,886.993965,-1.000000,895.633000,963.197066,1.000000,913.092733,693.687601,0.000000,48.320000,1.000000,85.935257,-1
905.66,931.5,889.41,716352,928.18,23046614,909.28321,2022-02-02,1143.621427,825.469573,0,1009.810000,865.010000,0.000000,907.891982,913.687500,931.500000,889.410000,0.000000,888.355000,960.903933,0.000000,910.615155,705.800310,0.000000,48.320000,1.000000,86.580949,-1
891.14,937.0,880.52,767221,882.0,26991037,908.772168,2022-02-03,1131.141426,818.251574,0,901.500000,756.700000,0.000000,910.789741,897.665000,937.000000,880.520000,0.000000,893.668000,958.731269,0.000000,904.123437,716.391149,0.000000,48.320000,1.000000,79.558787,-1
923.32,936.5,881.17,681221,897.22,24980935,914.60861,2022-02-04,1119.663382,815.591618,0,934.075000,758.625000,0.000000,904.227371,909.552500,936.500000,881.170000,0.000000,910.484000,956.735418,0.000000,910.522291,728.215655,0.000000,48.320000,1.000000,79.981508,-1
907.34,947.77,902.7089,640687,923.79,20730953,921.849927,2022-02-07,1113.265558,810.027442,0,1016.015000,857.425000,0.000000,906.889935,920.402225,947.770000,902.708900,0.000000,915.527890,955.524035,1.000000,909.461528,738.451332,0.000000,48.320000,1.000000,78.140051,-1
922.0,926.2899,894.8,513027,905.53,17439099,914.99079,2022-02-08,1100.321832,809.359168,0,1010.545000,851.955000,0.000000,913.646080,912.154975,926.289900,894.800000,0.000000,912.766880,953.858143,0.000000,913.641018,748.939827,0.000000,48.320000,1.000000,74.757044,-1
932.0,946.2699,920.0,506988,935.0,17856443,932.854311,2022-02-09,1084.467027,811.973973,0,984.955000,826.365000,0.000000,912.900528,933.317475,946.269900,912.900528,0.000000,917.302870,953.118029,0.000000,919.760679,759.400408,0.000000,48.320000,1.000000,74.777959,-1
904.55,943.81,896.7,689690,908.37,22647185,920.629666,2022-02-10,1053.380023,822.893977,0,963.495000,818.785000,0.000000,923.109001,913.357500,943.810000,896.700000,0.000000,919.601870,951.984821,0.000000,914.690453,767.694671,0.000000,48.320000,1.000000,69.537012,0
860.0,915.96,850.7,946249,909.63,27045042,879.257944,2022-02-11,1040.999733,818.118267,0,995.675000,850.965000,0.000000,918.233251,884.072500,918.233251,850.700000,1.000000,914.500870,949.696327,0.000000,896.460302,772.969261,0.000000,48.320000,1.000000,68.171314,0
875.76,898.8799,853.15,696444,861.57,23132169,875.338605,2022-02-14,1019.233508,822.499492,0,944.675000,870.005000,0.000000,901.152875,872.339975,901.152875,853.150000,0.000000,904.655970,947.319508,0.000000,889.560201,778.843018,0.000000,48.320000,1.000000,66.988900,0
922.43,923.0,893.3774,595381,900.0,19821472,914.542245,2022-02-15,999.264280,831.660720,0,950.315000,893.685000,0.000000,886.746425,909.701850,923.000000,886.746425,0.000000,904.184720,946.096670,0.000000,900.516801,787.047988,0.000000,48.320000,1.000000,67.969387,0
